ParticipantID,QuestionType,QuestionNumber,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,Option11,Option12
participant1,QCM unique,1,Normale,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
participant1,QCM unique,2,Plusieurs fois par semaine,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
participant1,QCM multiple,3,TF1 (JT),NaN,"Groupe M6 (M6, W9)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
participant1,QCM multiple,4,Télévision,NaN,Réseaux sociaux,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
