ParticipantID,QuestionType,QuestionNumber,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Option10,Option11,Option12
participant8,QCM unique,1,Normale,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
participant8,QCM unique,2,Jamais,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
participant8,QCM multiple,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Je ne regarde pas de chaîne d'info
participant8,QCM multiple,4,NaN,NaN,Réseaux sociaux,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
